#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1124,Brandon Rush,481,10564,3250,1220,2861,42.6,522,1300,40.2,288,408,70.6,187,1226,1413,468,222,262,400,51.8,53.4
1125,Erwin Mueller,425,9541,3248,1292,3013,42.9,0,0,0,664,1059,62.7,0,0,2050,853,0,0,0,42.9,46.7
1126,Andris Biedrins,516,11147,3247,1432,2409,59.4,0,2,0,383,766,50,1190,2441,3631,467,331,580,479,59.4,59.1
1127,Tony Snell,501,11278,3236,1178,2755,42.8,621,1611,38.5,259,309,83.8,138,1018,1156,582,237,118,289,54,56
1128,Terry Dehere,402,7303,3235,1082,2632,41.1,328,867,37.8,743,954,77.9,144,444,588,1034,213,36,617,47.3,53
1129,Jordan Hill,409,7692,3232,1357,2733,49.7,3,22,13.6,515,737,69.9,879,1510,2389,322,150,272,426,49.7,52.9
1130,Armond Hill,468,11785,3214,1150,2817,40.8,1,13,7.7,913,1101,82.9,230,687,917,2194,548,61,833,40.8,48.7
1131,Ian Mahinmi,618,10353,3209,1201,2254,53.3,8,50,16,799,1305,61.2,937,1768,2705,357,357,443,601,53.5,56.7
1131,Willie Norwood,430,7341,3209,1218,2494,48.8,0,0,0,773,1109,69.7,393,564,1597,364,218,22,56,48.8,53.8
1133,Fred Jones,430,10302,3206,1090,2651,41.1,346,979,35.3,680,841,80.9,157,801,958,990,336,115,511,47.6,53.1
1134,Chase Budinger,407,7998,3198,1188,2766,43,413,1172,35.2,409,513,79.7,238,1002,1240,473,213,65,310,50.4,53.4
1135,Marko Jaric,447,11246,3193,1190,2944,40.4,289,840,34.4,524,718,73,274,926,1200,1600,583,128,708,45.3,49
1136,Jannero Pargo,499,7448,3175,1228,3140,39.1,400,1124,35.6,319,369,86.4,112,589,701,986,250,28,560,45.5,48.1
1137,Donald Royal,504,8446,3161,964,2036,47.3,0,14,0,1233,1602,77,554,877,1431,500,247,99,543,47.3,57.7
1138,Jim Loscutoff,511,9431,3156,1333,3868,34.5,0,0,0,490,750,65.3,0,0,2848,353,0,0,0,34.5,37.6
1139,Randy Brown,655,11537,3148,1275,3055,41.7,24,120,20,574,831,69.1,326,847,1173,1420,722,156,725,42.1,46
1140,Dudley Bradley,600,10192,3131,1222,2780,44,101,346,29.2,586,803,73,317,781,1098,1147,940,182,682,45.8,50
1141,Mike Brown,626,10960,3130,1126,2476,45.5,1,8,12.5,877,1271,69,934,1828,2762,424,253,169,643,45.5,51.6
1141,Dale Schlueter,586,9624,3130,1176,2366,49.7,0,0,0,778,1147,67.8,225,519,3034,920,67,91,15,49.7,54.5
1143,Kenny Walker,448,9050,3128,1240,2556,48.5,7,34,20.6,641,856,74.9,742,1051,1793,299,235,299,351,48.7,53.3
1144,Shannon Brown,408,7329,3118,1198,2854,42,276,831,33.2,446,553,80.7,177,583,760,458,284,90,378,46.8,50.3
1145,Steve Kuberski,568,7897,3114,1254,3005,41.7,0,0,0,606,790,76.7,315,519,2146,338,38,28,2,41.7,46.4
1146,Adam Keefe,617,10336,3107,1120,2230,50.2,1,14,7.1,866,1213,71.4,999,1557,2556,427,307,173,545,50.2,56.2
1147,Sasha Vujacic,581,8908,3094,1075,2757,39,533,1451,36.7,411,479,85.8,205,888,1093,748,336,34,328,48.7,52.1
1148,Tyrus Thomas,402,7932,3093,1147,2620,43.8,8,34,23.5,791,1080,73.2,550,1388,1938,347,328,525,527,43.9,50
1149,Alvin Scott,627,10853,3088,1171,2436,48.1,4,20,20,742,1012,73.3,661,1331,1992,847,404,371,617,48.2,53.6
1149,Derek Strong,456,8549,3088,1067,2483,43,11,61,18,943,1199,78.6,783,1430,2213,291,203,94,421,43.2,51.3
1151,Craig Smith,403,6826,3080,1221,2207,55.3,1,27,3.7,637,963,66.1,543,1024,1567,322,183,91,413,55.3,58.5
1152,Alex Hannum,516,7713,3078,1182,3341,35.4,0,0,0,714,1134,63,0,0,2013,857,0,0,0,35.4,40.1
1153,Timofey Mozgov,454,8182,3072,1230,2301,53.5,11,58,19,601,814,73.8,769,1456,2225,250,139,383,527,53.7,57.8
